Elevation,avg_hillshade,Soil_Type,Area,Forest_Cover
3014.0,210.66666666666666,Soil_Type23,Comanche Peak,Spruce/Fir
3259.0,192.33333333333334,Soil_Type40,Neota,Spruce/Fir
2060.0,163.0,Soil_Type1,Cache la Poudre,Ponderosa Pine
2375.0,209.0,Soil_Type6,Cache la Poudre,Ponderosa Pine
3199.0,225.5,Soil_Type29,Rawah,Spruce/Fir
2483.0,176.66666666666666,Soil_Type10,Cache la Poudre,Douglas-fir
2439.0,228.0,Soil_Type6,Cache la Poudre,Douglas-fir
3036.0,204.0,Soil_Type32,Comanche Peak,Lodgepole Pine
3188.0,213.0,Soil_Type29,Rawah,Spruce/Fir
2920.0,208.33333333333334,Soil_Type33,Comanche Peak,Lodgepole Pine
2049.0,247.0,Soil_Type14,Cache la Poudre,Cottonwood/Willow
2267.0,182.33333333333334,Soil_Type10,Cache la Poudre,Douglas-fir
3081.0,200.66666666666666,Soil_Type31,Comanche Peak,Lodgepole Pine
3192.0,189.0,Soil_Type33,Comanche Peak,Spruce/Fir
2398.0,187.0,Soil_Type6,Cache la Poudre,Ponderosa Pine
3173.0,169.0,Soil_Type23,Neota,Spruce/Fir
2144.0,157.5,Soil_Type10,Cache la Poudre,Ponderosa Pine
3010.0,147.5,Soil_Type33,Comanche Peak,Spruce/Fir
3182.0,225.0,Soil_Type22,Rawah,Spruce/Fir
2678.0,203.0,Soil_Type29,Rawah,Lodgepole Pine
3075.0,196.0,Soil_Type32,Comanche Peak,Lodgepole Pine
2980.0,228.5,Soil_Type22,Rawah,Spruce/Fir
3208.0,205.66666666666666,Soil_Type23,Neota,Spruce/Fir
3288.0,186.0,Soil_Type23,Neota,Lodgepole Pine
2888.0,180.0,Soil_Type24,Comanche Peak,Lodgepole Pine
2637.0,175.5,Soil_Type4,Comanche Peak,Douglas-fir
3241.0,187.66666666666666,Soil_Type22,Rawah,Spruce/Fir
3032.0,210.66666666666666,Soil_Type23,Comanche Peak,Lodgepole Pine
2293.0,129.5,Soil_Type10,Cache la Poudre,Ponderosa Pine
3306.0,207.66666666666666,Soil_Type39,Rawah,Spruce/Fir
2883.0,160.0,Soil_Type29,Rawah,Spruce/Fir
3357.0,205.0,Soil_Type32,Comanche Peak,Spruce/Fir
2860.0,209.0,Soil_Type33,Comanche Peak,Lodgepole Pine
3037.0,206.0,Soil_Type32,Comanche Peak,Lodgepole Pine
3268.0,204.0,Soil_Type22,Rawah,Spruce/Fir
3333.0,202.66666666666666,Soil_Type22,Neota,Spruce/Fir
2372.0,182.66666666666666,Soil_Type10,Cache la Poudre,Ponderosa Pine
3161.0,200.33333333333334,Soil_Type23,Comanche Peak,Spruce/Fir
2568.0,228.0,Soil_Type16,Rawah,Lodgepole Pine
3173.0,230.0,Soil_Type23,Comanche Peak,Lodgepole Pine
3056.0,211.33333333333334,Soil_Type33,Comanche Peak,Lodgepole Pine
2790.0,220.5,Soil_Type23,Rawah,Lodgepole Pine
3164.0,226.5,Soil_Type29,Rawah,Lodgepole Pine
2953.0,210.0,Soil_Type33,Comanche Peak,Lodgepole Pine
2727.0,139.66666666666666,Soil_Type13,Comanche Peak,Lodgepole Pine
3202.0,210.33333333333334,Soil_Type23,Rawah,Lodgepole Pine
3270.0,229.5,Soil_Type39,Comanche Peak,Spruce/Fir
2938.0,67.0,Soil_Type33,Comanche Peak,Lodgepole Pine
3008.0,205.0,Soil_Type13,Comanche Peak,Lodgepole Pine
2536.0,185.5,Soil_Type10,Cache la Poudre,Ponderosa Pine
3010.0,188.0,Soil_Type24,Comanche Peak,Spruce/Fir
3206.0,174.5,Soil_Type22,Rawah,Spruce/Fir
2948.0,196.66666666666666,Soil_Type31,Comanche Peak,Spruce/Fir
2980.0,168.66666666666666,Soil_Type29,Rawah,Spruce/Fir
2909.0,207.0,Soil_Type16,Rawah,Lodgepole Pine
2505.0,170.66666666666666,Soil_Type10,Comanche Peak,Ponderosa Pine
2036.0,202.5,Soil_Type10,Cache la Poudre,Ponderosa Pine
2092.0,231.0,Soil_Type10,Cache la Poudre,Ponderosa Pine
6704.0,187.0,Soil_Type23,Comanche Peak,Aspen
2952.0,196.0,Soil_Type29,Rawah,Lodgepole Pine
2131.0,177.0,Soil_Type10,Cache la Poudre,Ponderosa Pine
2334.0,212.0,Soil_Type3,Cache la Poudre,Ponderosa Pine
3276.0,225.5,Soil_Type13,Comanche Peak,Lodgepole Pine
2998.0,209.0,Soil_Type26,Comanche Peak,Lodgepole Pine
3270.0,157.0,Soil_Type29,Rawah,Spruce/Fir
3047.0,231.0,Soil_Type29,Rawah,Spruce/Fir
2892.0,226.5,Soil_Type32,Comanche Peak,Lodgepole Pine
2932.0,193.5,Soil_Type24,Comanche Peak,Spruce/Fir
3015.0,233.5,Soil_Type23,Rawah,Spruce/Fir
3164.0,254.0,Soil_Type22,Neota,Lodgepole Pine
3102.0,219.0,Soil_Type32,Comanche Peak,Lodgepole Pine
2902.0,176.0,Soil_Type20,Rawah,Spruce/Fir
2998.0,190.0,Soil_Type22,Rawah,Spruce/Fir
2848.0,205.0,Soil_Type12,Rawah,Lodgepole Pine
6704.0,197.33333333333334,Soil_Type33,Comanche Peak,Lodgepole Pine
2250.0,160.66666666666666,Soil_Type10,Cache la Poudre,Ponderosa Pine
3036.0,218.5,Soil_Type23,Comanche Peak,Spruce/Fir
3126.0,191.66666666666666,Soil_Type29,Rawah,Lodgepole Pine
2895.0,208.66666666666666,Soil_Type13,Comanche Peak,Lodgepole Pine
3245.0,219.5,Soil_Type22,Rawah,Spruce/Fir
3235.0,210.0,Soil_Type29,Rawah,Spruce/Fir
3165.0,203.0,Soil_Type32,Comanche Peak,Spruce/Fir
2796.0,212.5,Soil_Type11,Comanche Peak,Lodgepole Pine
2375.0,221.0,Soil_Type2,Cache la Poudre,Douglas-fir
3064.0,231.5,Soil_Type20,Rawah,Spruce/Fir
2535.0,183.0,Soil_Type4,Comanche Peak,Ponderosa Pine
2828.0,162.0,Soil_Type11,Comanche Peak,Lodgepole Pine
3010.0,168.5,Soil_Type32,Comanche Peak,Spruce/Fir
2796.0,181.0,Soil_Type12,Rawah,Lodgepole Pine
3033.0,193.0,Soil_Type32,Comanche Peak,Lodgepole Pine
3155.0,237.0,Soil_Type13,Comanche Peak,Spruce/Fir
2993.0,215.0,Soil_Type31,Comanche Peak,Lodgepole Pine
3180.0,177.33333333333334,Soil_Type22,Rawah,Spruce/Fir
2709.0,199.66666666666666,Soil_Type29,Rawah,Lodgepole Pine
3205.0,177.0,Soil_Type22,Rawah,Spruce/Fir
2325.0,133.0,Soil_Type10,Cache la Poudre,Douglas-fir
2853.0,226.0,Soil_Type23,Comanche Peak,Spruce/Fir
3017.0,173.5,Soil_Type32,Comanche Peak,Lodgepole Pine
2364.0,228.5,Soil_Type10,Cache la Poudre,Ponderosa Pine
3169.0,193.0,Soil_Type32,Comanche Peak,Lodgepole Pine
2617.0,175.5,Soil_Type10,Comanche Peak,Douglas-fir
2847.0,141.66666666666666,Soil_Type30,Rawah,Aspen
2830.0,193.33333333333334,Soil_Type23,Comanche Peak,Lodgepole Pine
2292.0,191.0,Soil_Type10,Cache la Poudre,Douglas-fir
2855.0,236.5,Soil_Type30,Rawah,Lodgepole Pine
3033.0,177.33333333333334,Soil_Type24,Comanche Peak,Spruce/Fir
3187.0,167.5,Soil_Type23,Comanche Peak,Spruce/Fir
3216.0,226.0,Soil_Type22,Rawah,Spruce/Fir
2952.0,95.0,Soil_Type30,Rawah,Lodgepole Pine
2340.0,171.5,Soil_Type10,Cache la Poudre,Ponderosa Pine
2206.0,124.5,Soil_Type1,Cache la Poudre,Ponderosa Pine
2764.0,104.0,Soil_Type33,Comanche Peak,Lodgepole Pine
2377.0,225.0,Soil_Type6,Cache la Poudre,Ponderosa Pine
2956.0,188.5,Soil_Type33,Comanche Peak,Lodgepole Pine
3007.0,202.66666666666666,Soil_Type23,Rawah,Spruce/Fir
3325.0,206.5,Soil_Type38,Comanche Peak,Krummholz
2317.0,191.0,Soil_Type3,Cache la Poudre,Ponderosa Pine
2165.0,194.0,Soil_Type10,Cache la Poudre,Ponderosa Pine
2823.0,177.66666666666666,Soil_Type33,Comanche Peak,Aspen
2588.0,199.66666666666666,Soil_Type4,Comanche Peak,Ponderosa Pine
2483.0,115.0,Soil_Type4,Comanche Peak,Ponderosa Pine
2938.0,233.0,Soil_Type32,Comanche Peak,Lodgepole Pine
2962.0,235.0,Soil_Type12,Rawah,Lodgepole Pine
3146.0,179.0,Soil_Type29,Rawah,Lodgepole Pine
2725.0,200.66666666666666,Soil_Type12,Rawah,Lodgepole Pine
2809.0,163.33333333333334,Soil_Type33,Comanche Peak,Lodgepole Pine
3036.0,166.5,Soil_Type22,Comanche Peak,Spruce/Fir
3132.0,188.0,Soil_Type33,Comanche Peak,Lodgepole Pine
3103.0,219.5,Soil_Type20,Rawah,Lodgepole Pine
2981.0,215.0,Soil_Type33,Comanche Peak,Lodgepole Pine
2978.0,233.0,Soil_Type23,Comanche Peak,Lodgepole Pine
3016.0,201.33333333333334,Soil_Type29,Rawah,Lodgepole Pine
2996.0,220.5,Soil_Type32,Comanche Peak,Lodgepole Pine
2322.0,194.33333333333334,Soil_Type2,Cache la Poudre,Ponderosa Pine
2486.0,212.5,Soil_Type4,Comanche Peak,Ponderosa Pine
2949.0,187.33333333333334,Soil_Type29,Rawah,Lodgepole Pine
2614.0,184.66666666666666,Soil_Type11,Comanche Peak,Lodgepole Pine
2443.0,195.5,Soil_Type6,Cache la Poudre,Douglas-fir
3010.0,189.5,Soil_Type29,Rawah,Lodgepole Pine
3332.0,189.33333333333334,Soil_Type40,Rawah,Spruce/Fir
2624.0,185.66666666666666,Soil_Type12,Rawah,Lodgepole Pine
1983.0,50.0,Soil_Type1,Cache la Poudre,Douglas-fir
3074.0,205.33333333333334,Soil_Type23,Rawah,Spruce/Fir
2884.0,176.0,Soil_Type32,Comanche Peak,Lodgepole Pine
2785.0,210.5,Soil_Type31,Comanche Peak,Lodgepole Pine
3087.0,194.66666666666666,Soil_Type32,Comanche Peak,Lodgepole Pine
2554.0,162.0,Soil_Type2,Comanche Peak,Aspen
3171.0,145.33333333333334,Soil_Type22,Rawah,Spruce/Fir
3154.0,155.0,Soil_Type29,Rawah,Spruce/Fir
3145.0,249.0,Soil_Type23,Comanche Peak,Lodgepole Pine
3109.0,187.66666666666666,Soil_Type29,Rawah,Lodgepole Pine
3240.0,195.5,Soil_Type23,Rawah,Spruce/Fir
3309.0,228.0,Soil_Type38,Rawah,Krummholz
3279.0,202.66666666666666,Soil_Type32,Comanche Peak,Spruce/Fir
6704.0,201.0,Soil_Type12,Rawah,Lodgepole Pine
3194.0,201.0,Soil_Type19,Rawah,Spruce/Fir
2367.0,178.33333333333334,Soil_Type10,Comanche Peak,Douglas-fir
2934.0,139.5,Soil_Type32,Comanche Peak,Lodgepole Pine
2922.0,193.0,Soil_Type29,Rawah,Lodgepole Pine
2772.0,210.33333333333334,Soil_Type31,Comanche Peak,Aspen
2373.0,188.0,Soil_Type10,Cache la Poudre,Douglas-fir
3046.0,234.0,Soil_Type22,Comanche Peak,Lodgepole Pine
3360.0,194.33333333333334,Soil_Type31,Comanche Peak,Lodgepole Pine
3044.0,204.0,Soil_Type24,Comanche Peak,Spruce/Fir
2275.0,207.0,Soil_Type2,Cache la Poudre,Douglas-fir
3309.0,219.0,Soil_Type40,Rawah,Spruce/Fir
3136.0,218.0,Soil_Type31,Comanche Peak,Spruce/Fir
3110.0,191.0,Soil_Type29,Rawah,Lodgepole Pine
2985.0,181.5,Soil_Type30,Rawah,Lodgepole Pine
2431.0,198.33333333333334,Soil_Type10,Cache la Poudre,Douglas-fir
3020.0,234.0,Soil_Type29,Rawah,Lodgepole Pine
2725.0,225.5,Soil_Type12,Rawah,Lodgepole Pine
2933.0,200.33333333333334,Soil_Type23,Rawah,Lodgepole Pine
2941.0,223.0,Soil_Type32,Comanche Peak,Lodgepole Pine
3004.0,188.33333333333334,Soil_Type22,Rawah,Lodgepole Pine
2525.0,185.0,Soil_Type23,Rawah,Lodgepole Pine
2624.0,213.5,Soil_Type11,Comanche Peak,Lodgepole Pine
3296.0,242.0,Soil_Type22,Rawah,Spruce/Fir
2728.0,205.0,Soil_Type30,Rawah,Lodgepole Pine
3410.0,204.66666666666666,Soil_Type36,Comanche Peak,Krummholz
3238.0,212.0,Soil_Type22,Rawah,Spruce/Fir
3118.0,195.5,Soil_Type22,Neota,Spruce/Fir
2933.0,226.5,Soil_Type12,Rawah,Lodgepole Pine
3308.0,184.5,Soil_Type38,Rawah,Spruce/Fir
3293.0,183.66666666666666,Soil_Type39,Neota,Spruce/Fir
3358.0,177.5,Soil_Type38,Neota,Krummholz
3086.0,179.33333333333334,Soil_Type29,Rawah,Lodgepole Pine
2936.0,162.0,Soil_Type32,Comanche Peak,Lodgepole Pine
2959.0,196.66666666666666,Soil_Type29,Rawah,Lodgepole Pine
3362.0,175.5,Soil_Type32,Comanche Peak,Spruce/Fir
3201.0,117.0,Soil_Type39,Rawah,Spruce/Fir
3427.0,198.66666666666666,Soil_Type40,Comanche Peak,Krummholz
3028.0,211.33333333333334,Soil_Type22,Comanche Peak,Lodgepole Pine
2638.0,228.0,Soil_Type11,Comanche Peak,Lodgepole Pine
2726.0,194.5,Soil_Type29,Rawah,Lodgepole Pine
3127.0,205.66666666666666,Soil_Type22,Rawah,Spruce/Fir
2429.0,207.0,Soil_Type10,Comanche Peak,Lodgepole Pine
2743.0,130.0,Soil_Type11,Comanche Peak,Lodgepole Pine
2880.0,177.66666666666666,Soil_Type33,Comanche Peak,Lodgepole Pine
2162.0,168.5,Soil_Type1,Cache la Poudre,Ponderosa Pine
2887.0,208.66666666666666,Soil_Type13,Comanche Peak,Lodgepole Pine
2543.0,130.0,Soil_Type10,Comanche Peak,Lodgepole Pine
2806.0,177.0,Soil_Type29,Rawah,Lodgepole Pine
3083.0,149.0,Soil_Type29,Rawah,Spruce/Fir
2974.0,174.5,Soil_Type24,Comanche Peak,Lodgepole Pine
3198.0,190.0,Soil_Type31,Comanche Peak,Spruce/Fir
2920.0,184.33333333333334,Soil_Type31,Comanche Peak,Lodgepole Pine
3028.0,160.5,Soil_Type22,Comanche Peak,Spruce/Fir
2821.0,189.66666666666666,Soil_Type30,Rawah,Lodgepole Pine
2632.0,236.0,Soil_Type2,Comanche Peak,Ponderosa Pine
2729.0,159.0,Soil_Type33,Comanche Peak,Lodgepole Pine
2040.0,34.0,Soil_Type3,Cache la Poudre,Ponderosa Pine
2562.0,178.0,Soil_Type10,Comanche Peak,Lodgepole Pine
2751.0,197.0,Soil_Type29,Rawah,Lodgepole Pine
2410.0,210.5,Soil_Type3,Comanche Peak,Ponderosa Pine
3326.0,226.5,Soil_Type40,Comanche Peak,Spruce/Fir
2936.0,190.0,Soil_Type23,Rawah,Spruce/Fir
2350.0,192.33333333333334,Soil_Type10,Cache la Poudre,Ponderosa Pine
2960.0,187.5,Soil_Type23,Rawah,Spruce/Fir
2659.0,158.5,Soil_Type10,Comanche Peak,Lodgepole Pine
2952.0,236.0,Soil_Type30,Rawah,Lodgepole Pine
3050.0,220.0,Soil_Type29,Rawah,Lodgepole Pine
2197.0,192.66666666666666,Soil_Type10,Cache la Poudre,Ponderosa Pine
2820.0,116.0,Soil_Type13,Comanche Peak,Lodgepole Pine
2631.0,226.5,Soil_Type30,Rawah,Lodgepole Pine
3021.0,202.0,Soil_Type23,Comanche Peak,Spruce/Fir
3248.0,213.0,Soil_Type23,Comanche Peak,Lodgepole Pine
2793.0,197.5,Soil_Type29,Rawah,Lodgepole Pine
3113.0,172.0,Soil_Type23,Rawah,Spruce/Fir
2913.0,190.0,Soil_Type24,Rawah,Lodgepole Pine
3174.0,167.0,Soil_Type30,Rawah,Lodgepole Pine
3242.0,183.5,Soil_Type29,Rawah,Spruce/Fir
3202.0,233.5,Soil_Type22,Comanche Peak,Spruce/Fir
3176.0,201.33333333333334,Soil_Type23,Rawah,Spruce/Fir
2701.0,243.0,Soil_Type2,Comanche Peak,Ponderosa Pine
3230.0,181.5,Soil_Type33,Comanche Peak,Spruce/Fir
3107.0,181.5,Soil_Type30,Rawah,Spruce/Fir
2885.0,194.0,Soil_Type32,Comanche Peak,Spruce/Fir
2795.0,221.5,Soil_Type12,Rawah,Lodgepole Pine
2394.0,175.5,Soil_Type10,Cache la Poudre,Douglas-fir
2842.0,219.5,Soil_Type10,Comanche Peak,Lodgepole Pine
2915.0,225.0,Soil_Type10,Comanche Peak,Lodgepole Pine
2684.0,200.33333333333334,Soil_Type2,Comanche Peak,Ponderosa Pine
3011.0,189.5,Soil_Type23,Rawah,Spruce/Fir
3045.0,186.5,Soil_Type23,Comanche Peak,Lodgepole Pine
3042.0,238.0,Soil_Type33,Comanche Peak,Lodgepole Pine
3228.0,188.5,Soil_Type29,Rawah,Spruce/Fir
3109.0,173.0,Soil_Type31,Comanche Peak,Spruce/Fir
3263.0,196.66666666666666,Soil_Type22,Rawah,Spruce/Fir
2753.0,190.66666666666666,Soil_Type13,Comanche Peak,Lodgepole Pine
2706.0,164.5,Soil_Type33,Comanche Peak,Lodgepole Pine
2762.0,193.0,Soil_Type29,Rawah,Lodgepole Pine
2791.0,221.5,Soil_Type31,Comanche Peak,Lodgepole Pine
2251.0,244.0,Soil_Type3,Cache la Poudre,Ponderosa Pine
3172.0,165.5,Soil_Type22,Rawah,Lodgepole Pine
3170.0,185.0,Soil_Type22,Comanche Peak,Lodgepole Pine
2992.0,203.33333333333334,Soil_Type32,Comanche Peak,Lodgepole Pine
3213.0,225.0,Soil_Type23,Neota,Spruce/Fir
3100.0,208.0,Soil_Type23,Rawah,Spruce/Fir
2990.0,213.5,Soil_Type23,Rawah,Spruce/Fir
3268.0,158.0,Soil_Type22,Rawah,Spruce/Fir
3139.0,190.66666666666666,Soil_Type31,Comanche Peak,Spruce/Fir
3232.0,189.33333333333334,Soil_Type22,Comanche Peak,Spruce/Fir
2172.0,148.5,Soil_Type3,Cache la Poudre,Ponderosa Pine
2345.0,176.0,Soil_Type3,Cache la Poudre,Ponderosa Pine
2954.0,163.5,Soil_Type32,Comanche Peak,Spruce/Fir
3268.0,210.5,Soil_Type31,Comanche Peak,Spruce/Fir
3373.0,209.5,Soil_Type39,Comanche Peak,Krummholz
2923.0,188.33333333333334,Soil_Type33,Comanche Peak,Spruce/Fir
2706.0,180.0,Soil_Type12,Rawah,Lodgepole Pine
3247.0,227.0,Soil_Type29,Rawah,Spruce/Fir
3155.0,196.5,Soil_Type22,Neota,Lodgepole Pine
2536.0,149.0,Soil_Type10,Comanche Peak,Lodgepole Pine
2724.0,116.0,Soil_Type33,Comanche Peak,Lodgepole Pine
2615.0,207.33333333333334,Soil_Type18,Rawah,Lodgepole Pine
2722.0,202.66666666666666,Soil_Type10,Comanche Peak,Lodgepole Pine
3361.0,211.5,Soil_Type32,Comanche Peak,Spruce/Fir
2556.0,238.0,Soil_Type30,Rawah,Lodgepole Pine
2959.0,191.66666666666666,Soil_Type11,Comanche Peak,Lodgepole Pine
2932.0,193.0,Soil_Type29,Rawah,Lodgepole Pine
3213.0,212.33333333333334,Soil_Type23,Comanche Peak,Spruce/Fir
2873.0,215.5,Soil_Type30,Rawah,Lodgepole Pine
3015.0,173.5,Soil_Type32,Comanche Peak,Spruce/Fir
2742.0,164.5,Soil_Type12,Rawah,Lodgepole Pine
2948.0,198.33333333333334,Soil_Type13,Comanche Peak,Spruce/Fir
3046.0,159.33333333333334,Soil_Type30,Rawah,Spruce/Fir
2454.0,185.5,Soil_Type10,Comanche Peak,Douglas-fir
3185.0,192.66666666666666,Soil_Type24,Rawah,Spruce/Fir
3049.0,186.0,Soil_Type29,Rawah,Spruce/Fir
2893.0,189.66666666666666,Soil_Type33,Comanche Peak,Lodgepole Pine
2012.0,98.5,Soil_Type5,Cache la Poudre,Ponderosa Pine
3175.0,190.5,Soil_Type29,Rawah,Spruce/Fir
3233.0,121.5,Soil_Type30,Rawah,Krummholz
2955.0,198.66666666666666,Soil_Type32,Comanche Peak,Lodgepole Pine
2368.0,183.0,Soil_Type10,Cache la Poudre,Ponderosa Pine
2955.0,217.5,Soil_Type13,Comanche Peak,Lodgepole Pine
2459.0,173.33333333333334,Soil_Type6,Cache la Poudre,Ponderosa Pine
2789.0,205.0,Soil_Type13,Comanche Peak,Lodgepole Pine
2829.0,182.0,Soil_Type13,Comanche Peak,Lodgepole Pine
6704.0,125.0,Soil_Type33,Comanche Peak,Lodgepole Pine
2936.0,187.0,Soil_Type26,Comanche Peak,Lodgepole Pine
6704.0,250.0,Soil_Type32,Comanche Peak,Lodgepole Pine
2523.0,178.33333333333334,Soil_Type10,Cache la Poudre,Lodgepole Pine
2751.0,178.5,Soil_Type29,Rawah,Lodgepole Pine
2979.0,188.0,Soil_Type29,Rawah,Lodgepole Pine
3006.0,207.66666666666666,Soil_Type31,Comanche Peak,Lodgepole Pine
2986.0,167.0,Soil_Type29,Rawah,Lodgepole Pine
2999.0,221.0,Soil_Type30,Rawah,Lodgepole Pine
2829.0,234.0,Soil_Type12,Rawah,Lodgepole Pine
2746.0,179.0,Soil_Type29,Rawah,Lodgepole Pine
3217.0,101.0,Soil_Type39,Comanche Peak,Spruce/Fir
2735.0,219.0,Soil_Type33,Comanche Peak,Lodgepole Pine
3013.0,196.33333333333334,Soil_Type22,Neota,Lodgepole Pine
3271.0,202.0,Soil_Type32,Comanche Peak,Spruce/Fir
3109.0,183.66666666666666,Soil_Type29,Rawah,Spruce/Fir
3313.0,226.0,Soil_Type38,Rawah,Spruce/Fir
2617.0,214.5,Soil_Type10,Comanche Peak,Douglas-fir
2129.0,158.0,Soil_Type10,Cache la Poudre,Ponderosa Pine
3012.0,217.5,Soil_Type22,Rawah,Spruce/Fir
2902.0,179.5,Soil_Type29,Rawah,Lodgepole Pine
3334.0,200.66666666666666,Soil_Type32,Comanche Peak,Krummholz
2861.0,181.5,Soil_Type4,Comanche Peak,Lodgepole Pine
2804.0,142.0,Soil_Type10,Comanche Peak,Lodgepole Pine
2798.0,215.5,Soil_Type12,Rawah,Spruce/Fir
2866.0,203.0,Soil_Type23,Comanche Peak,Aspen
3032.0,183.5,Soil_Type32,Comanche Peak,Lodgepole Pine
3295.0,231.0,Soil_Type32,Comanche Peak,Spruce/Fir
2939.0,246.0,Soil_Type29,Rawah,Lodgepole Pine
3083.0,210.5,Soil_Type32,Comanche Peak,Lodgepole Pine
3589.0,187.0,Soil_Type40,Neota,Krummholz
2994.0,180.5,Soil_Type32,Comanche Peak,Lodgepole Pine
2962.0,171.0,Soil_Type29,Rawah,Spruce/Fir
3167.0,197.0,Soil_Type24,Neota,Spruce/Fir
3190.0,183.0,Soil_Type23,Comanche Peak,Spruce/Fir
2889.0,201.0,Soil_Type29,Rawah,Lodgepole Pine
3100.0,190.0,Soil_Type29,Rawah,Spruce/Fir
2553.0,198.0,Soil_Type10,Cache la Poudre,Lodgepole Pine
2528.0,163.5,Soil_Type6,Cache la Poudre,Lodgepole Pine
3350.0,221.5,Soil_Type39,Rawah,Spruce/Fir
3223.0,226.0,Soil_Type23,Neota,Spruce/Fir
3139.0,192.0,Soil_Type13,Comanche Peak,Lodgepole Pine
2893.0,236.0,Soil_Type22,Rawah,Lodgepole Pine
2949.0,221.0,Soil_Type19,Rawah,Lodgepole Pine
3267.0,222.0,Soil_Type22,Rawah,Spruce/Fir
2826.0,219.5,Soil_Type12,Rawah,Lodgepole Pine
2802.0,204.33333333333334,Soil_Type4,Comanche Peak,Lodgepole Pine
6704.0,197.0,Soil_Type23,Rawah,Lodgepole Pine
3326.0,228.5,Soil_Type32,Comanche Peak,Spruce/Fir
3225.0,209.66666666666666,Soil_Type23,Neota,Spruce/Fir
3120.0,234.0,Soil_Type22,Comanche Peak,Spruce/Fir
2858.0,237.0,Soil_Type30,Rawah,Lodgepole Pine
2422.0,217.0,Soil_Type10,Cache la Poudre,Ponderosa Pine
2543.0,187.66666666666666,Soil_Type16,Rawah,Lodgepole Pine
3247.0,227.0,Soil_Type22,Rawah,Spruce/Fir
2972.0,228.0,Soil_Type22,Comanche Peak,Spruce/Fir
3227.0,208.5,Soil_Type32,Comanche Peak,Spruce/Fir
3384.0,156.0,Soil_Type32,Comanche Peak,Spruce/Fir
2852.0,225.5,Soil_Type4,Comanche Peak,Lodgepole Pine
2813.0,202.33333333333334,Soil_Type31,Comanche Peak,Lodgepole Pine
2657.0,213.0,Soil_Type10,Comanche Peak,Lodgepole Pine
2922.0,129.5,Soil_Type10,Comanche Peak,Lodgepole Pine
3122.0,194.33333333333334,Soil_Type22,Rawah,Lodgepole Pine
2411.0,233.0,Soil_Type10,Cache la Poudre,Ponderosa Pine
2926.0,148.0,Soil_Type23,Comanche Peak,Spruce/Fir
3020.0,201.0,Soil_Type22,Rawah,Spruce/Fir
2852.0,207.33333333333334,Soil_Type22,Comanche Peak,Spruce/Fir
2758.0,203.5,Soil_Type10,Comanche Peak,Lodgepole Pine
2816.0,212.5,Soil_Type33,Comanche Peak,Lodgepole Pine
1920.0,140.0,Soil_Type1,Cache la Poudre,Ponderosa Pine
